path	present_workspace	present_snapshot	workspace_differs	bytes	lines	sha256	content_kind	scan_class
.claude/settings.json	true	true	false	81	5	af48c05fba0095e1ac0e00a78f735749d73c6416e2a526caa07d63e14c948993	text	config
.env.example	true	true	false	9012	195	a3f09d3a328f6ef53e8b281416c918fea94d5c35eca29460bcdbc7d44157a118	text	text-support
.github/pull_request_template.md	true	false	false	1066	33	c96a435ac8e36e2e82608fac5cdb681e509507ae3442b476ea94f491df514faa	text	workspace-only-excluded:text-support
.github/workflows/ci.yml	true	true	false	457	25	ff7b31668581a20b981320066c81f4f835b4948750622ebd840b6eba5b93233e	text	config
.github/workflows/compliance.yml	true	true	false	2697	48	480da22f7cfdde20d7d0798f6944cbc5dfd3c9c64f01f1c21fe915d2cd1525f0	text	config
.github/workflows/coverage.yml	true	true	false	1812	59	eea817b57e597c69d46112199c0b130cdd9b6d112781f2357852a952ed158d85	text	config
.github/workflows/pr-template-lint.yml	true	false	false	2177	58	820c741f3a7079d35cdf524f0efdd8811636ca401f59cc7691b83a735d27ff90	text	workspace-only-excluded:config
.gitignore	true	true	false	442	20	5260a84ed130659bd95cd90e0a661b12570bdd643799d0cd9a8532ad8fa22133	text	text-support
AGENTS.md	true	true	false	9381	247	a2da5eabe57cad1b3a86d4f18793f87af686fbb5018239499774f56c6eed77cc	text	text-support
CLAUDE.md	true	true	false	11092	159	b3dae7ceacd92f5aaacf35770941887385fa0bcd2b040383ba258bd57805e4b1	text	text-support
Cargo.lock	true	true	false	176213	7256	734bfc8fdf94168d75024fed4ea7a705ac6110bdcf96f8bcf32ab67926019eab	text	text-support
Cargo.toml	true	true	false	2778	84	3130ee202e9e9c24b7f3494862565bcf841f53a2788e63ded2a540eaf8632267	text	config
benches/intraday_tick.rs	true	true	false	4105	111	be0f03c38caf32f6f583cf517ed2dee988bc1617a6f7adf52596ea1414cd97cc	text	rust
config/chain.toml	true	true	false	55857	1340	fda5cbb49bc385d6fb5e06b439dcd6c8f3f1f9ea53e4001eebac3675cc540bae	text	config
config/strategy.toml	true	true	false	9803	171	b8ee19cac07eb6bf5811b6e02db6c5b735863edd309b2f830a8e77bb9b611b0c	text	config
deploy/grafana_dashboard.json	true	true	false	4738	176	4ed1ca11fd1b435810f260e2a9b4b42a80bb3896453af3c04b9cf69291efd0c8	text	config
diesel.toml	true	true	false	244	9	c6ab445dd14e3eb83ec7b8436a79be4c244b9c63eb226cd524333ba683916bad	text	config
migrations/v10-p0-1-virtual-reason/down.sql	true	true	false	978	18	f93eb110b5493e0b5681c7b19b7c1bda0f67827ea37078e1de643b3655cced96	text	migration
migrations/v10-p0-1-virtual-reason/up.sql	true	true	false	1710	32	1a1225e51be798477872dbd5f78dc2534aa9a3b2d3a52e0fde1563ba90f47881	text	migration
migrations/v12-p0-paper-and-adjust/down.sql	true	true	false	744	20	1da72cedaf8208e2c736d4dd98e29a8afe08d2370239d41efeb7b28aca641db0	text	migration
migrations/v12-p0-paper-and-adjust/up.sql	true	true	false	5067	94	2613e5d2ac1a2290e006153c0c9e261a9327eccbec7c0763dd17d929fadcbf52	text	migration
migrations/v12-p1-account-mode/down.sql	true	true	false	203	6	2ce924c2dd72547158c39d555f9ebadd6c966f39803c02438267451d506af2b3	text	migration
migrations/v12-p1-account-mode/up.sql	true	true	false	1341	20	07892debdd7a411265a80dfc1fc7956559b4a69bd3b128b1d8b016aac78afdeb	text	migration
src/agent/auction_agent.rs	true	true	false	3153	124	bb70b3d310f9537f434828179bab883edcd9979bbc03699b20c1cdcd20f20346	text	rust
src/agent/context.rs	true	true	false	698	28	4d3c8ffc5d71d03625f4c3f51fe687ea1206a5f6ef94f51c6fc5753d6549ec4c	text	rust
src/agent/loop_runner.rs	true	true	false	21320	462	828f766f540fbf8653659b5faabb2fb1083c1fb28d079dcfdbafd3da793e24eb	text	rust
src/agent/mod.rs	true	true	false	794	28	31cd14101280bd562bf03390c3d019fd825081876e2e8678d8283d66d987277c	text	rust
src/agent/multi_agent/analysts.rs	true	true	false	12256	326	2044cdff49ef86ee21fe451bc404dd3614ee7ec7a404463d2dd701c8c6dc1e7a	text	rust
src/agent/multi_agent/arbitrator.rs	true	true	false	8141	208	13ab0be3f344c2f4da09e8028384622aa0f347196cd9ad08e3b97caedaa2190c	text	rust
src/agent/multi_agent/cost_board.rs	true	true	false	9346	271	cfe2f6cd12a0c16711433cc628b7bc72b00affd0fff3e1914473a701285cafc0	text	rust
src/agent/multi_agent/debate.rs	true	true	false	5729	145	af5aaacc9b8843ec7ab495a8808dd953e63c646578eade9f6d2fb937451a3f74	text	rust
src/agent/multi_agent/mod.rs	true	true	false	4505	123	ac865a89ab14a68c3e80979da3b24efeb07ed02eff5822eb1ccf4b5fd016727e	text	rust
src/agent/multi_agent/slices.rs	true	true	false	30173	878	0db933284a62cc1f948ddc989040a13a616a5249ebfda8995e9c9e0c6ca94057	text	rust
src/agent/multi_agent/trace.rs	true	true	false	4033	135	9bdde96c246bf7bccf73b78f42656395df858519ad39da5fb26b64281a3b2b8c	text	rust
src/agent/state.rs	true	true	false	272	7	4479fb43fa56fe9315f5c2e86068715b8ebcf15f78fb4023539138d8076ed619	text	rust
